date,last
2019-01-01,8.8599
2019-01-02,8.8786
2020-01-01,10.1302
2020-01-02,10.1814
2021-01-01,10.0894
2021-01-02,10.089
2022-01-01,11.6885
2022-01-02,11.688
2023-01-01,10.1755
2023-01-02,10.2138
2024-01-01,10.902
2024-01-02,10.9092
